ntp,1,0,0,0,1,1,3
dhcp,1,1,0,0,1,1,4
dcp-etsi,0,0,0,0,0,1,1
dhcpv6,1,1,0,0,1,1,4
media,1,1,0,1,0,1,4
igmp,1,1,0,0,1,1,4
icmpv6,1,1,0,0,1,1,4
arp,1,1,1,1,1,1,6
ocsp,1,1,0,1,1,1,5
xml,1,1,0,1,1,1,5
nbns,1,1,1,1,1,1,6
ssdp,1,1,1,0,1,1,5
llmnr,1,1,1,0,1,1,5
mdns,1,1,1,0,1,1,5
ipv6,1,1,1,0,1,1,5
dns,1,1,1,1,1,1,6
http,1,1,0,1,1,1,5
data,1,1,1,1,1,1,6
udp,1,1,1,1,1,1,6
tcp.segments,1,1,1,1,1,1,6
tls,1,1,1,1,1,1,6
tcp,1,1,1,1,1,1,6
ip,1,1,1,1,1,1,6
frame,1,1,1,1,1,1,6
eth,1,1,1,1,1,1,6
